year,month,day,index
1930,1,1,26.0819145
1931,1,1,25.18742757
1932,1,1,24.86780629
1933,1,1,21.67381834
1934,1,1,21.8041606
1935,1,1,22.02586246
1936,1,1,21.99820405
1937,1,1,21.07727947
1938,1,1,23.1229625
1939,1,1,24.03847661
1940,1,1,23.3981732
1941,1,1,22.14434278
1942,1,1,22.13241276
1943,1,1,22.99903728
1944,1,1,22.14179826
1945,1,1,22.92951172
1946,1,1,21.97337314
1947,1,1,24.1251488
1948,1,1,23.4425843
1949,1,1,21.68408573
1950,1,1,24.7086746
1951,1,1,23.80382185
1952,1,1,22.70025387
1953,1,1,20.13520899
1954,1,1,19.2572666
1955,1,1,23.03057531
1956,1,1,23.45270473
1957,1,1,22.22677362
1958,1,1,20.29915994
1959,1,1,20.39383497
1960,1,1,18.57950401
1961,1,1,19.22217302
1962,1,1,19.14693228
1963,1,1,19.82412542
1964,1,1,21.03350035
1965,1,1,19.80034945
1966,1,1,18.28399505
1967,1,1,18.31441659
1968,1,1,19.3081592
1969,1,1,17.68801671
1970,1,1,18.54557871
1971,1,1,19.49406461
1972,1,1,20.61087332
1973,1,1,22.60268513
1974,1,1,23.34784708
1975,1,1,26.33593984
1976,1,1,26.15442849
1977,1,1,24.50839697
1978,1,1,24.43558091
1979,1,1,22.70009974
1980,1,1,20.88051187
1981,1,1,19.68573053
1982,1,1,18.75479907
1983,1,1,17.46213926
1984,1,1,15.54140806
1985,1,1,15.26000189
1986,1,1,15.40847374
1987,1,1,14.62437676
1988,1,1,15.94829545
1989,1,1,16.75845394
1990,1,1,18.16942204
1991,1,1,17.00945634
1992,1,1,16.28627156
1993,1,1,14.84286491
1994,1,1,13.76485508
1995,1,1,12.79908914
1996,1,1,14.01696419
1997,1,1,13.77808294
1998,1,1,13.29472415
1999,1,1,13.33418772
2000,1,1,14.79871294
2001,1,1,15.55535624
2002,1,1,15.26636126
2003,1,1,14.94261871
2004,1,1,15.39873259
2005,1,1,16.06471953
2006,1,1,18.30123845
2007,1,1,19.09018138
2008,1,1,19.90186827
2009,1,1,20.02568696
2010,1,1,22.6195553
2011,1,1,24.46549027
2012,1,1,24.37810705
2013,1,1,26.64147916
2014,1,1,27.14953363
2015,1,1,25.72678724
2016,1,1,25.03447154
2017,1,1,25.04792308
2018,1,1,26.35319671
2019,1,1,24.61193773
2020,1,1,24.41794454
