Year,Month,Day,index
1988,1,1,7.152033091
1989,1,1,7.600170727
1990,1,1,7.779305627
1991,1,1,7.78630828
1992,1,1,8.031783909
1993,1,1,8.090022149
1994,1,1,7.952283997
1995,1,1,7.611633639
1996,1,1,7.228831275
1997,1,1,6.610577723
1998,1,1,6.023353551
1999,1,1,5.805198878
2000,1,1,5.259674991
2001,1,1,4.591408771
2002,1,1,4.588059223
2003,1,1,4.869667016
2004,1,1,5.079267255
2005,1,1,5.147998185
2006,1,1,5.132703683
2007,1,1,4.990565474
2008,1,1,4.627502277
2009,1,1,4.454564523
2010,1,1,4.015440845
2011,1,1,3.908942581
2012,1,1,3.7041189
2013,1,1,3.414400823
2014,1,1,3.281277211
2015,1,1,3.153293181
2016,1,1,2.977321384
2017,1,1,3.253234226
2018,1,1,3.489299012
2019,1,1,3.663453398
