Year,Month,Day,Discharge
1958,10,2,527.16
1958,10,3,549.27
1958,10,4,468.4
1958,10,5,549.27
1958,10,6,564.71
1958,10,7,920.53
1958,10,8,873.44
1958,10,9,847.77
1958,10,10,846.55
1958,10,11,810.45
1958,10,12,586.56
1958,10,13,493.61
1958,10,14,431.99
1958,10,15,538.44
1958,10,16,473.93
1958,10,17,567.93
1958,10,18,586.55
1958,10,19,533.35
1958,10,20,497.9
1958,10,21,384.09
1958,10,22,323.28
1958,10,23,351.09
1958,10,24,477.1
1958,10,25,492.35
1958,10,26,497.24
1958,10,27,460.24
1958,10,28,388.98
1958,10,29,327.56
1958,10,30,344.69
1958,10,31,343.46
1958,11,1,416.25
1958,11,2,507.35
1958,11,3,530.59
1958,11,4,510.71
1958,11,5,399.38
1958,11,6,317.46
1958,11,7,390.82
1958,11,8,446.48
1958,11,9,430.92
1958,11,10,403.71
1958,11,11,357.51
1958,11,12,289.28
1958,11,13,275.83
1958,11,14,338.54
1958,11,15,396.63
1958,11,16,412.23
1958,11,17,414.05
1958,11,18,337.31
1958,11,19,285.91
1958,11,20,308.56
1958,11,21,335.5
1958,11,22,385.05
1958,11,23,396.65
1958,11,24,373.38
1958,11,25,337.92
1958,11,26,286.53
1958,11,27,271.46
1958,11,28,524.98
1958,11,29,607.21
1958,11,30,625.85
1958,12,1,582.82
1958,12,2,523.66
1958,12,3,514.99
1958,12,4,514.99
1958,12,5,523.66
1958,12,6,576.7
1958,12,7,585.71
1958,12,8,562.18
1958,12,9,415.61
1958,12,10,315.84
1958,12,11,296.76
1958,12,12,511.44
1958,12,13,619.68
1958,12,14,610.28
1958,12,15,573.88
1958,12,16,468.33
1958,12,17,350.94
1958,12,18,305.91
1958,12,19,552.47
1958,12,20,683.61
1958,12,21,767.51
1958,12,22,796.18
1958,12,23,534.66
1958,12,24,410.12
1958,12,25,578.35
1958,12,26,740.3
1958,12,27,710.59
1958,12,28,507.93
1958,12,29,491.23
1958,12,30,1083.87
1958,12,31,825.43
1959,1,1,795.63
1959,1,2,981.03
1959,1,3,1081.11
1959,1,4,1467.32
1959,1,5,885.74
1959,1,6,866.01
1959,1,7,1680.2
1959,1,8,2190.99
1959,1,9,1948.63
1959,1,10,1633.73
1959,1,11,1793.98
1959,1,12,1699.8
1959,1,13,1973.91
1959,1,14,2026.27
1959,1,15,1823.68
1959,1,16,1454.24
1959,1,17,1292.02
1959,1,18,1127.8
1959,1,19,882.88
1959,1,20,677.53
1959,1,21,616.72
1959,1,22,773.78
1959,1,23,1296.04
1959,1,24,12694.88
1959,1,25,20606.08
1959,1,26,11988.91
1959,1,27,7350.45
1959,1,28,4867.92
1959,1,29,3545.73
1959,1,30,2869.1
1959,1,31,2508.75
1959,2,1,1898.76
1959,2,2,1490.63
1959,2,3,1256.96
1959,2,4,1059.45
1959,2,5,978.65
1959,2,6,925.13
1959,2,7,909.84
1959,2,8,863.96
1959,2,9,856.31
1959,2,10,848.66
1959,2,11,802.79
1959,2,12,841.01
1959,2,13,1108.58
1959,2,14,1125.45
1959,2,15,1247.76
1959,2,16,2843.15
1959,2,17,12702.07
1959,2,18,58006.68
1959,2,19,111348.43
1959,2,20,49763.63
1959,2,21,19218.18
1959,2,22,9505.49
1959,2,23,5884.01
1959,2,24,4220.35
1959,2,25,3763.15
1959,2,26,3584.23
1959,2,27,3428.29
1959,2,28,3298.29
1959,3,1,3206.56
1959,3,2,3061.28
1959,3,3,2923.65
1959,3,4,2789.08
1959,3,5,2654.51
1959,3,6,2521.47
1959,3,7,2400.67
1959,3,8,2299.79
1959,3,9,2205
1959,3,10,2125.46
1959,3,11,2077.46
1959,3,12,2266.06
1959,3,13,2241.79
1959,3,14,2119.87
1959,3,15,2082.16
1959,3,16,1941.37
1959,3,17,1776.13
1959,3,18,1929.18
1959,3,19,2020.38
1959,3,20,2158.06
1959,3,21,2045.04
1959,3,22,1910.97
1959,3,23,2063.54
1959,3,24,2082.16
1959,3,25,2202.95
1959,3,26,2069.78
1959,3,27,2045.18
1959,3,28,2333.42
1959,3,29,2920.71
1959,3,30,5391.24
1959,3,31,6830.48
1959,4,1,5308.97
1959,4,2,8054.16
1959,4,3,8547.07
1959,4,4,7011.15
1959,4,5,3614.66
1959,4,6,2325.96
1959,4,7,2056.58
1959,4,8,1990.04
1959,4,9,1882.31
1959,4,10,1630.98
1959,4,11,1448.16
1959,4,12,1406.42
1959,4,13,1434.21
1959,4,14,1330.03
1959,4,15,1443.52
1959,4,16,1485.5
1959,4,17,1600.7
1959,4,18,1873.24
1959,4,19,2238.69
1959,4,20,1757.93
1959,4,21,1518.84
1959,4,22,1600.7
1959,4,23,1615.32
1959,4,24,1586.09
1959,4,25,1581.25
1959,4,26,1561.96
1959,4,27,1425.3
1959,4,28,1294.66
1959,4,29,1406.63
1959,4,30,1429.4
1959,5,1,1429.4
1959,5,2,1429.4
1959,5,3,1424.79
1959,5,4,1370.38
1959,5,5,1229.82
1959,5,6,1338.99
1959,5,7,1388.16
1959,5,8,1392.68
1959,5,9,1397.26
1959,5,10,1415.62
1959,5,11,1339.19
1959,5,12,1208.89
1959,5,13,1393.27
1959,5,14,1429.4
1959,5,15,1429.4
1959,5,16,1429.4
1959,5,17,1420.24
1959,5,18,1339.19
1959,5,19,1175.18
1959,5,20,1183.74
1959,5,21,1393.27
1959,5,22,1434.03
1959,5,23,1471.35
1959,5,24,1532.97
1959,5,25,1518.84
1959,5,26,1411.45
1959,5,27,1586.34
1959,5,28,1620.22
1959,5,29,1620.22
1959,5,30,1610.43
1959,5,31,1537.85
1959,6,1,1425.1
1959,6,2,1325.54
1959,6,3,1443.52
1959,6,4,1466.6
1959,6,5,1466.6
1959,6,6,1466.6
1959,6,7,1457.29
1959,6,8,1370.59
1959,6,9,1213.14
1959,6,10,1393.27
1959,6,11,1429.4
1959,6,12,1429.4
1959,6,13,1429.4
1959,6,14,1420.24
1959,6,15,1334.85
1959,6,16,1175.29
1959,6,17,1334.85
1959,6,18,1438.91
1959,6,19,1547.45
1959,6,20,1476.09
1959,6,21,1424.87
1959,6,22,1339.19
1959,6,23,1208.89
1959,6,24,1393.27
1959,6,25,1429.4
1959,6,26,1429.4
1959,6,27,1429.4
1959,6,28,1420.24
1959,6,29,1334.85
1959,6,30,1179.51
1959,7,1,1361.63
1959,7,2,1424.79
1959,7,3,1429.4
1959,7,4,1406.63
1959,7,5,1195.37
1959,7,6,718.96
1959,7,7,536.89
1959,7,8,915.45
