event_no,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_var,intensity_cumulative,intensity_mean_relThresh,intensity_max_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_mean_abs,intensity_max_abs,intensity_var_abs,intensity_cumulative_abs,rate_onset,rate_decline
1,6,1993-07-10,1993-07-14,1993-07-15,0.7208,0.7392,0.0162,4.3247,0.1297,0.1443,0.0145,0.7783,21.6914,21.7617,0.047,130.1483,0.0588,0.0589
2,14,1993-07-22,1993-07-29,1993-08-04,0.8169,0.9598,0.0959,11.4363,0.1771,0.3209,0.0963,2.4799,21.4801,21.6085,0.0934,300.722,0.045,0.0493
3,5,1993-08-15,1993-08-16,1993-08-19,0.6727,0.6956,0.0244,3.3633,0.0353,0.0573,0.0235,0.1765,21.3067,21.3189,0.0147,106.5337,0.0359,0.0162
4,6,1994-11-03,1994-11-04,1994-11-08,2.1751,2.8601,0.5703,13.0503,1.3809,2.0637,0.5676,8.2854,25.8793,26.4901,0.4844,155.276,1.3144,0.4784
5,16,1996-01-27,1996-02-06,1996-02-11,1.629,2.0146,0.1901,26.0644,0.5891,0.9637,0.1819,9.4251,28.5268,28.9637,0.2334,456.4283,0.0782,0.1393
6,6,1997-03-01,1997-03-06,1997-03-06,1.1404,1.3691,0.1641,6.8422,0.1841,0.4309,0.1772,1.1046,27.885,28.0577,0.1271,167.3101,0.1209,0.877
7,6,1997-12-05,1997-12-05,1997-12-10,1.0281,1.1158,0.0709,6.1684,0.1514,0.2535,0.0843,0.9087,26.2553,26.2881,0.0189,157.5321,0.3661,0.0505
8,6,1997-12-22,1997-12-26,1997-12-27,1.3645,1.4204,0.0465,8.1867,0.3849,0.4413,0.045,2.3091,27.2858,27.4164,0.095,163.7148,0.083,0.1775
9,23,1998-02-04,1998-02-25,1998-02-26,1.3862,1.8401,0.1723,31.8835,0.3148,0.8111,0.1758,7.2394,28.3411,28.7295,0.1699,651.8443,0.0402,0.4505
10,6,1998-03-29,1998-04-02,1998-04-03,1.1089,1.2425,0.1299,6.6532,0.238,0.3813,0.1405,1.4281,27.0676,27.1532,0.0739,162.4054,0.0836,0.1905
11,38,1998-04-20,1998-05-21,1998-05-27,1.0811,1.3451,0.1879,41.0835,0.3633,0.6348,0.1822,13.8047,25.1893,25.9765,0.5781,957.1934,0.0189,0.1031
12,25,1998-06-03,1998-06-07,1998-06-27,0.7095,0.9196,0.0985,17.7368,0.1234,0.3168,0.0892,3.0849,22.8327,23.4644,0.4372,570.8172,0.0739,0.0212
13,67,1998-08-17,1998-09-02,1998-10-22,1.018,1.315,0.1869,68.205,0.3101,0.637,0.177,20.7767,22.6546,23.8622,0.8045,1517.8573,0.0477,0.0177
14,5,1999-01-12,1999-01-12,1999-01-16,1.1139,1.1695,0.0583,5.5695,0.1314,0.1712,0.047,0.6571,27.6094,27.6422,0.0245,138.0468,0.3107,0.0794
15,5,1999-09-29,1999-09-30,1999-10-03,0.9085,1.3248,0.2358,4.5425,0.167,0.5811,0.2344,0.8349,22.976,23.3481,0.2117,114.88,0.5588,0.1721
16,6,2000-02-09,2000-02-14,2000-02-14,2.0135,2.3025,0.2106,12.081,0.9209,1.2018,0.2036,5.5253,29.0034,29.2947,0.2143,174.0201,0.4353,3.7656
17,6,2000-02-18,2000-02-18,2000-02-23,1.8568,2.1345,0.4288,11.1407,0.7818,1.0487,0.4162,4.6908,28.804,29.106,0.4463,172.824,3.7724,0.3951
