calyear,SCPUE_avg
1988,20.02103167
1989,22.08542676
1990,16.92073377
1991,14.85521504
1992,28.76539239
1993,20.03498066
1994,16.94226806
1995,13.79760925
1996,7.779608144
1997,11.18280227
1998,19.10104207
1999,13.85776161
2000,16.6860794
2001,17.82824472
2002,13.15662571
2003,14.98696568
2004,21.52103802
2005,12.66483825
2006,22.88142479
2007,23.38959395
2008,29.07972449
2009,27.21899813
2010,17.95661677
2011,15.74831508
2012,28.68762839
2013,17.79196119
2014,12.45561688
2015,5.843469256
2016,6.69738593
2017,9.409339464
2018,13.44993911
2019,7.670244304
