calyear,SCPUE_dec
1988,20.70615566
1989,18.53293424
1990,16.47347294
1991,14.47521424
1992,27.19500585
1993,16.39479552
1994,15.42471106
1995,12.611581
1996,6.759998983
1997,9.406759067
1998,17.47479547
1999,12.03968937
2000,13.6784962
2001,11.03817258
2002,10.02276165
2003,12.58483034
2004,15.14733869
2005,10.4970207
2006,15.71428023
2007,18.1648239
2008,23.47796579
2009,21.70672451
2010,15.24713351
2011,13.44024579
2012,20.46308435
2013,12.1607049
2014,11.91137693
2015,4.671499975
2016,5.976369243
2017,8.483540834
2018,10.58960469
2019,8.162178423
