calyear,SCPUE_nov
1988,18.91258735
1989,28.91912607
1990,20.74085243
1991,14.24117485
1992,26.822415
1993,29.14599419
1994,19.31593652
1995,17.89042767
1996,9.678707322
1997,13.36927784
1998,22.80745389
1999,16.30158935
2000,18.17468612
2001,15.92206816
2002,11.98992219
2003,17.70218397
2004,18.81754084
2005,17.63882006
2006,20.34106176
2007,24.33120816
2008,31.40466679
2009,30.95443274
2010,17.08220218
2011,16.5467484
2012,30.67256744
2013,20.15240985
2014,11.56386849
2015,6.108673294
2016,8.160945028
2017,8.751403188
2018,20.54639347
