Year,Month,Day,actual_fp
1988,1,1,52.84717366
1989,1,1,61.20034604
1990,1,1,49.41984301
1991,1,1,54.49718851
1992,1,1,50.29106252
1993,1,1,40.90291583
1994,1,1,38.72776233
1995,1,1,37.792076
1996,1,1,31.98164552
1997,1,1,40.52511433
1998,1,1,35.20234479
1999,1,1,32.38403536
2000,1,1,35.37133345
2001,1,1,32.9471252
2002,1,1,25.64492313
2003,1,1,30.14774033
2004,1,1,40.86599371
2005,1,1,43.79310559
2006,1,1,44.04635049
2007,1,1,34.75166306
2008,1,1,28.71006377
2009,1,1,26.62279192
2010,1,1,26.16685819
2011,1,1,24.94563095
2012,1,1,23.70195865
2013,1,1,29.36107355
2014,1,1,23.77100802
2015,1,1,26.06483615
2016,1,1,23.91796182
2017,1,1,20.66136454
2018,1,1,21.43532342
2019,1,1,15.93981842
