event_no,duration,date_start,date_peak,date_end,intensity_mean,intensity_median,intensity_max,intensity_min,intensity_log
1,2,1900-06-01,1900-06-01,1900-07-01,18.05,18.05,26.1,10,3.586292865
2,1,1901-03-01,1901-03-01,1901-03-01,9.4,9.4,9.4,9.4,2.240709689
3,3,1901-06-01,1901-06-01,1901-08-01,14.66666667,14.6,19.6,9.8,3.784189634
4,1,1902-01-01,1902-01-01,1902-01-01,17,17,17,17,2.833213344
5,1,1902-03-01,1902-03-01,1902-03-01,11.6,11.6,11.6,11.6,2.451005098
6,2,1903-03-01,1903-04-01,1903-04-01,17.65,17.65,17.7,17.6,3.563882964
7,1,1903-09-01,1903-09-01,1903-09-01,8.7,8.7,8.7,8.7,2.163323026
8,6,1903-12-01,1904-04-01,1904-05-01,16.08333333,15,31.7,9.2,4.569543008
9,4,1906-08-01,1906-11-01,1906-11-01,16.15,16.9,21.7,9.1,4.168214411
10,2,1907-05-01,1907-05-01,1907-06-01,9.15,9.15,10,8.3,2.90690106
11,1,1907-12-01,1907-12-01,1907-12-01,8.8,8.8,8.8,8.8,2.174751721
12,1,1908-04-01,1908-04-01,1908-04-01,16.8,16.8,16.8,16.8,2.821378886
13,1,1908-09-01,1908-09-01,1908-09-01,17.7,17.7,17.7,17.7,2.87356464
14,3,1909-06-01,1909-06-01,1909-08-01,14.43333333,10.7,22.8,9.8,3.768152635
15,1,1909-11-01,1909-11-01,1909-11-01,9.2,9.2,9.2,9.2,2.219203484
16,2,1910-02-01,1910-02-01,1910-03-01,13.95,13.95,15.2,12.7,3.328626689
17,7,1910-06-01,1910-06-01,1910-12-01,16.21428571,15.9,22,9.8,4.731802837
18,1,1914-03-01,1914-03-01,1914-03-01,9.4,9.4,9.4,9.4,2.240709689
19,1,1915-07-01,1915-07-01,1915-07-01,14,14,14,14,2.63905733
20,1,1915-12-01,1915-12-01,1915-12-01,9.8,9.8,9.8,9.8,2.282382386
21,3,1916-06-01,1916-07-01,1916-08-01,17,16.2,25.7,9.1,3.931825633
22,2,1916-11-01,1916-12-01,1916-12-01,12.6,12.6,15.4,9.8,3.226843995
23,13,1917-02-01,1917-08-01,1918-02-01,21.2,21.2,34.8,10,5.618950539
24,2,1918-04-01,1918-04-01,1918-05-01,13.4,13.4,16.8,10,3.288401888
25,1,1920-07-01,1920-07-01,1920-07-01,9.4,9.4,9.4,9.4,2.240709689
26,2,1920-12-01,1921-01-01,1921-01-01,10.3,10.3,10.8,9.8,3.025291076
27,1,1921-03-01,1921-03-01,1921-03-01,8.9,8.9,8.9,8.9,2.186051277
28,1,1921-06-01,1921-06-01,1921-06-01,22,22,22,22,3.091042453
29,5,1921-10-01,1921-10-01,1922-02-01,8.7,8.5,9.7,8,3.772760938
30,2,1922-11-01,1922-12-01,1922-12-01,10.15,10.15,11.8,8.5,3.010620886
31,2,1923-03-01,1923-03-01,1923-04-01,8.75,8.75,8.9,8.6,2.862200881
32,2,1924-05-01,1924-05-01,1924-06-01,9.9,9.9,11.5,8.3,2.985681938
33,2,1924-08-01,1924-08-01,1924-09-01,9.25,9.25,10.4,8.1,2.917770732
34,1,1924-11-01,1924-11-01,1924-11-01,11.8,11.8,11.8,11.8,2.468099531
35,3,1925-02-01,1925-03-01,1925-04-01,14.36666667,14.4,14.9,13.8,3.763522997
36,1,1927-03-01,1927-03-01,1927-03-01,18.1,18.1,18.1,18.1,2.895911938
37,1,1927-06-01,1927-06-01,1927-06-01,8.3,8.3,8.3,8.3,2.116255515
38,3,1928-02-01,1928-03-01,1928-04-01,12.06666667,11.9,13.8,10.5,3.589059119
39,3,1928-08-01,1928-08-01,1928-10-01,9,9.1,9.8,8.1,3.295836866
40,3,1928-12-01,1929-02-01,1929-02-01,15.26666667,16,18,11.8,3.824284091
41,1,1929-11-01,1929-11-01,1929-11-01,11.1,11.1,11.1,11.1,2.406945108
42,1,1930-01-01,1930-01-01,1930-01-01,12.7,12.7,12.7,12.7,2.541601993
43,4,1931-04-01,1931-06-01,1931-07-01,12.475,11.25,18.8,8.6,3.910021003
44,1,1933-12-01,1933-12-01,1933-12-01,8.2,8.2,8.2,8.2,2.104134154
45,1,1934-06-01,1934-06-01,1934-06-01,10.7,10.7,10.7,10.7,2.370243741
46,1,1934-11-01,1934-11-01,1934-11-01,13.1,13.1,13.1,13.1,2.57261223
47,1,1935-03-01,1935-03-01,1935-03-01,12.2,12.2,12.2,12.2,2.501435952
48,1,1936-04-01,1936-04-01,1936-04-01,22.6,22.6,22.6,22.6,3.117949906
49,1,1937-01-01,1937-01-01,1937-01-01,9.4,9.4,9.4,9.4,2.240709689
50,4,1938-05-01,1938-07-01,1938-08-01,15.65,15.55,18.5,13,4.136765278
51,1,1938-10-01,1938-10-01,1938-10-01,12.8,12.8,12.8,12.8,2.549445171
52,2,1938-12-01,1939-01-01,1939-01-01,15.4,15.4,17,13.8,3.42751469
53,2,1939-03-01,1939-03-01,1939-04-01,10.5,10.5,11.6,9.4,3.044522438
54,1,1939-07-01,1939-07-01,1939-07-01,8.1,8.1,8.1,8.1,2.091864062
55,1,1942-06-01,1942-06-01,1942-06-01,8.3,8.3,8.3,8.3,2.116255515
56,2,1942-09-01,1942-09-01,1942-10-01,8.6,8.6,8.7,8.5,2.844909384
57,3,1942-12-01,1942-12-01,1943-02-01,11.23333333,10.5,13.8,9.4,3.517497837
58,1,1943-04-01,1943-04-01,1943-04-01,13.5,13.5,13.5,13.5,2.602689685
59,1,1943-10-01,1943-10-01,1943-10-01,9.1,9.1,9.1,9.1,2.208274414
60,1,1945-03-01,1945-03-01,1945-03-01,13.2,13.2,13.2,13.2,2.58021683
61,1,1945-06-01,1945-06-01,1945-06-01,8.3,8.3,8.3,8.3,2.116255515
62,2,1945-08-01,1945-08-01,1945-09-01,10.2,10.2,11.7,8.7,3.015534901
63,1,1947-03-01,1947-03-01,1947-03-01,11.6,11.6,11.6,11.6,2.451005098
64,1,1947-07-01,1947-07-01,1947-07-01,9.4,9.4,9.4,9.4,2.240709689
65,1,1947-09-01,1947-09-01,1947-09-01,11.7,11.7,11.7,11.7,2.459588842
66,1,1947-11-01,1947-11-01,1947-11-01,9.2,9.2,9.2,9.2,2.219203484
67,3,1950-02-01,1950-02-01,1950-04-01,17.33333333,17.6,17.6,16.8,3.951243719
68,3,1950-06-01,1950-06-01,1950-08-01,20.1,21.1,26.9,12.3,4.099332104
69,5,1950-10-01,1950-12-01,1951-02-01,15.74,16.5,23,9.6,4.365643155
70,1,1954-08-01,1954-08-01,1954-08-01,10.4,10.4,10.4,10.4,2.341805806
71,1,1954-12-01,1954-12-01,1954-12-01,12.8,12.8,12.8,12.8,2.549445171
72,1,1955-02-01,1955-02-01,1955-02-01,15.2,15.2,15.2,15.2,2.721295428
73,16,1955-05-01,1955-07-01,1956-08-01,13.45625,12.85,19.2,9.3,5.372032404
74,1,1956-10-01,1956-10-01,1956-10-01,18.3,18.3,18.3,18.3,2.90690106
75,1,1956-12-01,1956-12-01,1956-12-01,10.3,10.3,10.3,10.3,2.332143895
76,1,1959-03-01,1959-03-01,1959-03-01,8.4,8.4,8.4,8.4,2.128231706
77,2,1959-11-01,1959-11-01,1959-12-01,9.65,9.65,11.1,8.2,2.960105096
78,1,1961-04-01,1961-04-01,1961-04-01,9.4,9.4,9.4,9.4,2.240709689
79,2,1961-12-01,1962-01-01,1962-01-01,15.4,15.4,17,13.8,3.42751469
80,1,1962-05-01,1962-05-01,1962-05-01,12.3,12.3,12.3,12.3,2.509599262
81,1,1962-10-01,1962-10-01,1962-10-01,10.3,10.3,10.3,10.3,2.332143895
82,1,1963-01-01,1963-01-01,1963-01-01,9.4,9.4,9.4,9.4,2.240709689
83,2,1964-03-01,1964-04-01,1964-04-01,10.95,10.95,13.5,8.4,3.086486637
84,3,1964-08-01,1964-08-01,1964-10-01,13.73333333,14.1,14.3,12.8,3.718438256
85,2,1967-01-01,1967-01-01,1967-02-01,13.75,13.75,14.6,12.9,3.314186005
86,1,1968-02-01,1968-02-01,1968-02-01,9.6,9.6,9.6,9.6,2.261763098
87,2,1968-05-01,1968-05-01,1968-06-01,13.5,13.5,14.7,12.3,3.295836866
88,1,1970-06-01,1970-06-01,1970-06-01,9.9,9.9,9.9,9.9,2.292534757
89,4,1970-09-01,1970-11-01,1970-12-01,15.075,15.15,19.7,10.3,4.099332104
90,4,1971-02-01,1971-04-01,1971-05-01,16.675,17.45,22.6,9.2,4.200204953
91,3,1971-08-01,1971-10-01,1971-10-01,16.16666667,15.9,17.7,14.9,3.881563798
92,1,1972-02-01,1972-02-01,1972-02-01,8.2,8.2,8.2,8.2,2.104134154
93,1,1973-06-01,1973-06-01,1973-06-01,12.3,12.3,12.3,12.3,2.509599262
94,10,1973-08-01,1973-11-01,1974-05-01,16.31,14.85,31.6,9.7,5.09436351
95,1,1974-07-01,1974-07-01,1974-07-01,12,12,12,12,2.48490665
96,2,1974-09-01,1974-09-01,1974-10-01,10.4,10.4,12.3,8.5,3.034952987
97,2,1975-03-01,1975-04-01,1975-04-01,13,13,14.4,11.6,3.258096538
98,10,1975-06-01,1975-09-01,1976-03-01,16.87,16.6,22.5,11.8,5.12812199
99,1,1976-11-01,1976-11-01,1976-11-01,9.8,9.8,9.8,9.8,2.282382386
100,1,1978-05-01,1978-05-01,1978-05-01,16.3,16.3,16.3,16.3,2.791165108
101,2,1981-06-01,1981-06-01,1981-07-01,10.45,10.45,11.5,9.4,3.039749159
102,1,1982-01-01,1982-01-01,1982-01-01,9.4,9.4,9.4,9.4,2.240709689
103,1,1983-09-01,1983-09-01,1983-09-01,9.9,9.9,9.9,9.9,2.292534757
104,1,1985-04-01,1985-04-01,1985-04-01,14.4,14.4,14.4,14.4,2.667228207
105,1,1985-08-01,1985-08-01,1985-08-01,8.5,8.5,8.5,8.5,2.140066163
106,1,1986-01-01,1986-01-01,1986-01-01,8,8,8,8,2.079441542
107,1,1986-06-01,1986-06-01,1986-06-01,10.7,10.7,10.7,10.7,2.370243741
108,1,1988-05-01,1988-05-01,1988-05-01,10,10,10,10,2.302585093
109,8,1988-07-01,1988-11-01,1989-02-01,14.375,13.9,21,9.1,4.744932128
110,2,1989-04-01,1989-04-01,1989-05-01,17.85,17.85,21,14.7,3.575150689
111,1,1989-07-01,1989-07-01,1989-07-01,9.4,9.4,9.4,9.4,2.240709689
112,1,1990-05-01,1990-05-01,1990-05-01,13.1,13.1,13.1,13.1,2.57261223
113,1,1996-01-01,1996-01-01,1996-01-01,8.4,8.4,8.4,8.4,2.128231706
114,1,1996-06-01,1996-06-01,1996-06-01,13.9,13.9,13.9,13.9,2.63188884
115,1,1997-02-01,1997-02-01,1997-02-01,13.3,13.3,13.3,13.3,2.587764035
116,11,1998-06-01,1999-04-01,1999-04-01,12.15454545,11.1,18.5,8.6,4.895598484
117,3,1999-10-01,1999-11-01,1999-12-01,11.66666667,12.8,13.1,9.1,3.555348061
118,3,2000-02-01,2000-04-01,2000-04-01,13.03333333,12.9,16.8,9.4,3.666122467
119,3,2000-09-01,2000-11-01,2000-11-01,14,9.9,22.4,9.7,3.737669618
120,2,2001-01-01,2001-02-01,2001-02-01,10.15,10.15,11.9,8.4,3.010620886
121,1,2003-12-01,2003-12-01,2003-12-01,9.3,9.3,9.3,9.3,2.2300144
